id;nom;adresse;code_postal;ville
1;West Virginia;Lithuanian Litas Global;Iranian Rial transmitting;Tasty Wooden Bacon hybrid
2;Unbranded Concrete Shirt Quality-focused;feed Home Loan Account salmon;experiences Brand hack;Senior Fantastic
3;Optimization;repurpose;networks Strategist Director;Chips Cheese payment
4;Assurance Indian Rupee Ngultrum revolutionary;Sleek Soft Soap;Kids;moderator payment
5;customer loyalty;Turks and Caicos Islands Rustic Cotton Pizza protocol;deliver;sexy
6;budgetary management;Response;Rhode Island parallelism Concrete;Berkshire hack programming
7;connecting Haven Automotive;calculating innovative Refined;Cambridgeshire;National Handmade Concrete Chips
8;invoice Investor District;Delaware interface Marketing;rich Business-focused;Kroon
9;parse Refined Fresh Shirt Buckinghamshire;Representative;access;compressing microchip
10;transmit Canyon online;Buckinghamshire;virtual parsing Right-sized;complexity
